0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Acard;Acidum acetylsalicylicum;75 mg;tabletki dojelitowe;06725;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;B01AC06
Acard;Acidum acetylsalicylicum;150 mg;tabletki dojelitowe;17975;2016-03-10;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;B01AC06
Acard 150 mg;Acidum acetylsalicylicum;150 mg;tabletki dojelitowe;23375;2021-08-23;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;B01AC06
Acard 300 mg;Acidum acetylsalicylicum;300 mg;tabletki;23458;2021-10-04;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;B01AC06
Acarizax;Standaryzowany wyciąg alergenowy roztoczy kurzu domowego (Dermatophagoides pteronyssinus, Dermatophagoides farina) ;;liofilizat doustny;22945;2021-01-21;Alk-Abello A/S;DCP;V01AA03
Acatar Acti Form;Phenylephrini hydrochloridum;12,2 mg;kapsułki twarde;20812;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;R01BA03
Acatar Acti-Tabs;Pseudoephedrini hydrochloridum + Triprolidini hydrochloridum;60 mg + 2,5 mg;tabletki;11149;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;R01BA02
Acatar Control;Oxymetazolini hydrochloridum;0,5 mg/ml (0,05%);aerozol do nosa, roztwór;08303;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;R01AA05
Acatar Zatoki;Ibuprofenum + Pseudoephedrini hydrochloridum;200 mg + 30 mg;tabletki powlekane;11339;Bezterminowe;US Pharmacia Sp. z o.o.;NAR;M01AE51
Acatar Zatoki Tabs;Ibuprofenum + Phenylephrini hydrochloridum;200 mg + 6,1 mg;tabletki drażowane;21608;2018-12-10;US Pharmacia Sp. z o.o.;NAR;M01AE51
Acatarick Allergy;Cetirizini dihydrochloridum;10 mg;tabletki powlekane;15770;Bezterminowe;US Pharmacia Sp. z o.o.;MRP;R06AE07
ACC;Acetylcysteinum;200 mg;granulat do sporządzania roztworu doustnego;282/15;2020-06-02;InPharm Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;proszek do sporządzania roztworu;03316;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC;Acetylcysteinum;200 mg;proszek do sporządzania roztworu doustnego;703/11;2021-12-28;InPharm Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;proszek do sporządzania roztworu doustnego;882/12;2017-12-16;Delfarma Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki;09226;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki;354/15;2020-06-22;Pretium Farm Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;09906;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;193/12;2022-04-17;InPharm Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;233/12;2022-04-26;Delfarma Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;448/12;2017-08-05;PharmaVitae Sp. z o.o. sp. k.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;490/12;2017-09-02;Delfarma Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;186/13;2018-04-18;Pretium Farm Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;318/13;2018-07-07;Avrentim Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;205/14;2019-06-12;Aga Kommerz spol. s.r.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;514/15;2020-08-02;Laboratorium Galenowe Olsztyn Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;230/17;2022-07-28;ModumPharma Sp. z o.o.;IR;R05CB01
ACC;Acetylcysteinum;200 mg;tabletki musujące;264/17;2022-08-22;PharmaVitae Sp. z o.o. sp.k.;IR;R05CB01
ACC ;Acetylcysteinum;200 mg;tabletki musujące;121/10;2020-08-09;Forfarm Sp. z o.o.;IR;R05CB01
ACC 600;Acetylcysteinum;600 mg;tabletki musujące;634/11;2016-12-13;InPharm Sp. z o.o.;IR;R05CB01
ACC 600;Acetylcysteinum;600 mg;tabletki musujące;223/10;2015-12-05;Blau Farma Group Sp. z o.o. - S.K.A.;IR;R05CB01
ACC 600;Acetylcysteinum;600 mg;tabletki musujące;3/12;2017-01-15;Recipio Sp. z o.o.;IR;R05CB01
ACC 600;Acetylcysteinum;600 mg;tabletki musujące;179/12;2017-04-05;Laboratorium Galenowe Olsztyn Sp. z o.o.;IR;R05CB01
ACC classic;Acetylcysteinum;20 mg/ml;roztwór doustny;21343;2018-07-21;Sandoz GmbH;NAR;R05CB01
ACC Hot;Acetylcysteinum;200 mg;granulat do sporządzania roztworu doustnego;08921;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC Hot;Acetylcysteinum;200 mg/3 mg;granulat do sporządzania roztworu doustnego;489/12;2022-09-03;Delfarma Sp. z o.o.;IR;R05CB01
ACC Max;Acetylcysteinum;200 mg;tabletki;83/12;2017-02-15;Blau Farma Group Sp. z o.o. - S.K.A.;IR;R05CB01
ACC Max;Acetylcysteinum;200 mg;tabletki musujące;115/10;2015-08-25;InPharm Sp. z o.o.;IR;R05CB01
ACC Max;Acetylcysteinum;200 mg;tabletki musujące;21/12;2017-01-19;Blau Farma Group Sp. z o.o. - S.K.A.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg;granulat do sporządzania roztworu doustnego;78/10;2020-06-08;InPharm Sp. z o.o.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg;granulat do sporządzania roztworu doustnego;408/12;2017-07-22;Delfarma Sp. z o.o.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg/sasz.;proszek do sporządzania roztworu;03315;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC mini;Acetylcysteinum;20 mg/ml;proszek do sporządzania roztworu doustnego;08246;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC mini;Acetylcysteinum;100 mg;proszek do sporządzania roztworu doustnego;54/12;2017-02-07;InPharm Sp. z o.o.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg;tabletki musujące;03312;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC mini;Acetylcysteinum;100 mg;tabletki musujące;64/10;2020-04-12;InPharm Sp. z o.o.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg;tabletki musujące;591/11;2016-11-27;Delfarma Sp. z o.o.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg;tabletki musujące;334/12;2017-06-24;Avrentim Sp. z o.o.;IR;R05CB01
ACC mini;Acetylcysteinum;100 mg;tabletki musujące;87/14;2019-03-02;Forfarm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;06910;Bezterminowe;Sandoz GmbH;NAR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;100/08;2018-10-29;Delfarma Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;116/10;2020-08-25;InPharm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;211/10;2015-11-15;Forfarm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;80/12;2017-02-12;Avrentim Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;78/13;2018-01-31;Delfarma Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;303/13;2018-06-27;Pretium Farm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;451/13;2018-10-23;Delfarma Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;369/14;2019-11-18;Forfarm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;93/15;2020-02-22;InPharm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;424/15;2020-07-14;Laboratorium Galenowe Olsztyn Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;156/16;2021-03-15;Forfarm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;149/16;2021-03-15;Aga Kommerz spol. s.r.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600  mg;tabletki musujące;394/16;2021-09-01;Delfarma Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;112/17;2022-03-30;Forfarm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;181/17;2022-05-29;ModumPharma Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;354/17;2022-10-26;PharmaVitae Sp. z o.o. sp.k.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;427/17;2022-12-22;Pretium Farm Sp. z o.o.;IR;R05CB01
ACC optima;Acetylcysteinum;600 mg;tabletki musujące;66/18;2023-02-19;InPharm Sp. z o.o.;IR;R05CB01
ACC Optima Active;Acetylcysteinum;600 mg;proszek doustny w saszetce;24126;2022-07-20;Sandoz GmbH;DCP;R05CB01
ACC optima Hot;Acetylcysteinum;600 mg/3 g;proszek do sporządzania roztworu doustnego;08922;Bezterminowe;Sandoz GmbH;NAR;R05CB01
Accofil;Filgrastimum;30 mln j./0,5 ml;roztwór do wstrzykiwań lub infuzji;;;Accord Healthcare Limited;CEN;L03AA02
Accofil;Filgrastimum;48 mln j./0,5 ml;roztwór do wstrzykiwań lub infuzji;;;Accord Healthcare Limited;CEN;L03AA02
Accordeon;Oxycodoni hydrochloridum;5 mg;tabletki o przedłużonym uwalnianiu;19784;Bezterminowe;Accord Healthcare Limited;MRP;N02AA05
Accordeon;Oxycodoni hydrochloridum;10 mg;tabletki o przedłużonym uwalnianiu;19785;Bezterminowe;Accord Healthcare Limited;MRP;N02AA05
Accordeon;Oxycodoni hydrochloridum;20 mg;tabletki o przedłużonym uwalnianiu;19786;Bezterminowe;Accord Healthcare Limited;MRP;N02AA05
Accordeon;Oxycodoni hydrochloridum;40 mg;tabletki o przedłużonym uwalnianiu;19787;Bezterminowe;Accord Healthcare Limited;MRP;N02AA05
Accordeon;Oxycodoni hydrochloridum;80 mg;tabletki o przedłużonym uwalnianiu;19788;Bezterminowe;Accord Healthcare Limited;MRP;N02AA05
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;07070;Bezterminowe;Pfizer Europe MA EEIG;NAR;C09AA06
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;76/06;2016-11-16;Delfarma Sp. z o.o.;IR;C09AA06
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;195/12;2017-04-17;Delfarma Sp. z o.o.;IR;C09AA06
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;229/12;2017-04-25;Blau Farma Group Sp. z o.o. - S.K.A.;IR;C09AA06
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;300/13;2018-06-26;InPharm Sp. z o.o.;IR;C09AA06
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;115/14;2019-03-30;PharmaVitae Sp. z o.o. sp. k.;IR;C09AA06
Accupro 10;Quinaprilum;10 mg;tabletki powlekane;212/14;2019-06-19;Pretium Farm Sp. z o.o.;IR;C09AA06
Accupro 20;Quinaprilum;20 mg;tabletki powlekane;07071;Bezterminowe;Pfizer Europe MA EEIG;NAR;C09AA06
Accupro 20;Quinaprilum;20 mg;tabletki powlekane;221/12;2017-04-25;Delfarma Sp. z o.o.;IR;C09AA06
Accupro 20;Quinaprilum;20 mg;tabletki powlekane;301/13;2018-06-26;InPharm Sp. z o.o.;IR;C09AA06
Accupro 20;Quinaprilum;20 mg;tabletki powlekane;213/14;2019-06-19;Pretium Farm Sp. z o.o.;IR;C09AA06
Accupro 40;Quinaprilum;40 mg;tabletki powlekane;10801;Bezterminowe;Pfizer Europe MA EEIG;NAR;C09AA06
Accupro 5;Quinaprilum;5 mg;tabletki powlekane;07069;Bezterminowe;Pfizer Europe MA EEIG;NAR;C09AA06
Accupro 5;Quinaprilum;5 mg;tabletki powlekane;77/06;2016-11-16;Delfarma Sp. z o.o.;IR;C09AA06
Accupro 5;Quinaprilum;5 mg;tabletki powlekane;414/11;2016-10-18;Forfarm Sp. z o.o.;IR;C09AA06
Accupro 5;Quinaprilum;5 mg;tabletki powlekane;220/12;2017-04-25;Delfarma Sp. z o.o.;IR;C09AA06
Accupro 5;Quinaprilum;5 mg;tabletki powlekane;299/13;2018-06-26;InPharm Sp. z o.o.;IR;C09AA06
Accupro 5;Quinaprilum;5 mg;tabletki powlekane;211/14;2019-06-19;Pretium Farm Sp. z o.o.;IR;C09AA06
Accusol 35;Preparat złożony;-;roztwór do hemofiltracji, hemodializy i hemodiafiltracji;12260;Bezterminowe;Nikkiso Belgium bvba;MRP;B05ZB
Accusol 35 Potassium 2 mmol/l;Preparat złożony;-;roztwór do hemofiltracji, hemodializy i hemodiafiltracji;12261;Bezterminowe;Nikkiso Belgium bvba;MRP;B05ZB
Accusol 35 Potassium 4 mmol/l;Preparat złożony;-;roztwór do hemofiltracji, hemodializy i hemodiafiltracji;12262;Bezterminowe;Nikkiso Belgium bvba;MRP;B05ZB
Accuzide;Quinaprilum + Hydrochlorothiazidum;10 mg + 12,5 mg;tabletki powlekane;08673;2017-01-10;Pfizer Europe MA EEIG;NAR;C09BA06
Accuzide 20;Quinaprilum + Hydrochlorothiazidum;20 mg + 12,5 mg;tabletki powlekane;08674;2017-01-10;Pfizer Europe MA EEIG;NAR;C09BA06
Acecor;Acebutololum;400 mg;tabletki powlekane;06665;Bezterminowe;SPA Societa Prodotti Antibiotici S.p.A.;NAR;C07AB04
Acenocumarol WZF;Acenocoumarolum;4 mg;tabletki;00557;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;B01AA07
Acenocumarol WZF;Acenocoumarolum;1 mg;tabletki;10750;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;B01AA07
Acenol;Paracetamolum;300 mg;tabletki;01402;Bezterminowe;Farmaceutyczna Spółdzielnia Pracy Galena;NAR;N02BE01
Acenol Forte;Paracetamolum;500 mg;tabletki;02559;Bezterminowe;Farmaceutyczna Spółdzielnia Pracy Galena;NAR;N02BE01
Acerin;Acidum salicylicum + Acidum lacticum;(195 mg + 98 mg)/g;płyn do stosowania na skórę;02442;Bezterminowe;Scan-Anida Sp. z o.o.;NAR;D02AF
Acesan;Acidum acetylsalicylicum;30 mg;tabletki;00325;Bezterminowe;Sun-Farm Sp. z o.o.;NAR;B01AC06
Acesan;Acidum acetylsalicylicum;50 mg;tabletki;00326;Bezterminowe;Sun-Farm Sp. z o.o.;NAR;B01AC06
Acesan;Acidum acetylsalicylicum;75 mg;tabletki;00327;Bezterminowe;Sun-Farm Sp. z o.o.;NAR;B01AC06
Acetylcysteine Sandoz;Acetylcysteinum;100 mg/ml;roztwór do infuzji;07893;Bezterminowe;Sandoz GmbH;NAR;V03AB23
Acetylsalicylic Acid Sandoz;Acidum acetylsalicylicum;100 mg;tabletki dojelitowe;22502;Bezterminowe;Sandoz GmbH;MRP;B01AC06
Acetylsalicylic Acid Sandoz;Acidum acetylsalicylicum;75 mg;tabletki dojelitowe;22515;Bezterminowe;Sandoz GmbH;MRP;B01AC06
Achillea Millefolium;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19242;Bezterminowe;Boiron SA;NAR;
Aciclovir Hasco;Aciclovirum;400 mg;tabletki;23014;2021-02-24;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;J05AB01
Aciclovir Hikma;Aciclovirum;250 mg;proszek do sporządzania roztworu do infuzji;23932;2022-04-24;Hikma Farmaceutica S.A.;MRP;J05AB01
Aciclovir Hikma;Aciclovirum;500 mg;proszek do sporządzania roztworu do infuzji;23933;2022-04-24;Hikma Farmaceutica S.A.;MRP;J05AB01
Aciclovir Jelfa;Aciclovirum;250 mg;proszek do sporządzania roztworu do infuzji;04052;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;J05AB01
Aciclovir Mylan;Aciclovirum;25 mg/ml;proszek do sporządzania roztworu do infuzji;22302;2020-02-09;Mylan S.A.S.;DCP;J05AB01
Aciclovir Ziaja;Aciclovirum;50 mg/g;krem;23100;2021-04-04;Ziaja Ltd. - Zakład Produkcji Leków Sp. z o.o.;NAR;D06BB03
Acidum folicum Hasco;Acidum folicum;5 mg;tabletki;10272;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;B03BB01
Acidum folicum Hasco;Acidum folicum;15 mg;tabletki;10273;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;B03BB01
Acidum folicum Polfarmex;Acidum folicum;5 mg;tabletki;10032;Bezterminowe;Polfarmex S.A.;NAR;B03BB01
Acidum folicum Polfarmex;Acidum folicum;15 mg;tabletki;10033;Bezterminowe;Polfarmex S.A.;NAR;B03BB01
Acidum folicum Richter;Acidum folicum;5 mg;tabletki;01092;Bezterminowe;Gedeon Richter Polska Sp. z o.o.;NAR;B03BB01
Acidum folicum Richter;Acidum folicum;15 mg;tabletki;01093;Bezterminowe;Gedeon Richter Polska Sp. z o.o.;NAR;B03BB01
Acidwell;Pantoprazolum;20 mg;tabletki dojelitowe;18279;2017-05-08;Sandoz GmbH;DCP;A02BC02
